product_category_name_english,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
fashion_shoes,262,240,15,173,77.4,16.905,18.774312977099235,30.821499999999997,68.69,0.2335689045936395,0.5615384615384615,1.0543175487465182,850.0,8712.0,0.7557251908396947,0.9809160305343512,0.0023257878384376385
costruction_tools_garden,238,194,33,88,48.945,17.895,22.316806722689073,60.18899999999996,107.23,0.3732133989038724,1.0087993548614531,2.1487951807228916,1300.0,8595.0,0.634453781512605,0.9747899159663865,0.002112738570794496
home_appliances_2,238,234,46,90,225.945,36.230000000000004,44.53857142857143,103.36999999999998,170.8,0.1461065071770335,0.6542904321059262,1.4120970422067132,7500.0,44280.0,0.6974789915966386,0.9705882352941176,0.002112738570794496
agro_industry_and_commerce,212,182,34,74,258.65,23.68,27.56415094339623,68.73049999999999,194.55,0.10043209911747614,1.136624982802386,1.698232744248083,2650.0,18000.0,0.6839622641509434,0.9716981132075472,0.0018819351975144251
art,209,202,36,55,97.5,15.23,19.35488038277512,37.374,227.66,0.2274395329441201,0.7005214044612718,2.517757009345795,1700.0,19500.0,0.5645933014354066,0.9425837320574163,0.0018553040390590324
computers,203,181,9,30,1100.0,41.55,48.45467980295566,91.77,193.21,0.0396261250865451,0.1389288301014511,0.5315942028985507,2800.0,19344.0,0.7980295566502463,0.9802955665024631,0.0018020417221482467
signaling_and_security,199,140,46,93,75.0,18.23,32.70261306532664,102.94,299.16,0.3336,1.7094857142857145,5.739495798319327,575.0,8580.0,0.5376884422110553,0.9899497487437185,0.0017665335108743897
construction_tools_safety,194,167,35,91,125.575,17.345,20.201546391752576,47.60149999999996,84.15,0.14334043641771727,0.7954968809565066,1.7741573033707865,600.0,4563.0,0.711340206185567,0.9432989690721649,0.0017221482467820683
christmas_supplies,153,128,17,65,44.9,17.92,21.106535947712416,39.55,74.59,0.3912663755458516,2.373697916666667,3.0383333333333336,600.0,8448.0,0.6928104575163399,0.9803921568627451,0.0013581890812250333
fashion_male_clothing,132,112,13,95,59.9,15.205,16.306136363636362,29.67449999999995,56.8,0.2278969957081544,0.5831325301204819,0.974496644295302,600.0,8000.0,0.7272727272727273,0.946969696969697,0.0011717709720372837
fashion_underwear_beach,131,121,9,53,59.9,14.6,14.627404580152673,19.3,34.86,0.218363939899833,3.888461538461539,4.674358974358975,200.0,2880.0,0.5801526717557252,0.9694656488549618,0.0011628939192188192
furniture_bedroom,109,95,23,45,179.0,38.11,42.49752293577981,89.92799999999998,147.65,0.2527527527527527,0.8808080808080808,1.4666666666666666,10700.0,46827.0,0.5596330275229358,0.944954128440367,0.0009675987572126054
costruction_tools_tools,103,97,24,39,59.99,18.23,19.710873786407767,34.64,48.58,0.2215263157894737,0.9615384615384616,2.8411764705882354,800.0,4096.0,0.7961165048543689,1.0,0.0009143364403018198
tablets_printing_image,83,79,6,9,99.0,14.86,14.773493975903614,25.18,34.49,0.1630211254440082,0.46635573770491795,1.395973154362416,300.0,5544.0,0.6144578313253012,1.0,0.0007367953839325344
small_appliances_home_oven_and_coffee,76,75,15,31,587.0,28.98,36.15605263157895,69.3325,115.63,0.08202337975858864,0.5584052511415525,1.1190914671577656,3800.0,24000.0,0.6842105263157895,0.9605263157894737,0.0006746560142032845
cine_photo,72,65,14,28,72.825,16.86,17.447222222222223,34.95850000000001,48.7,0.22210505533224656,1.523,2.6808823529411767,400.0,2112.0,0.625,0.9722222222222222,0.0006391478029294274
dvds_blu_ray,64,59,10,48,19.9,17.705,20.1365625,42.23699999999995,58.11,0.8303370786516854,1.7454241084942785,2.333734939759036,200.0,560.0,0.828125,0.953125,0.0005681313803817133
books_imported,60,53,7,31,63.0,10.030000000000001,12.830833333333334,19.7105,55.96,0.1896636015606396,0.6135166080034004,0.8290131878126422,675.0,1518.0,0.38333333333333336,0.95,0.0005326231691078562
