route_state,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
RJ_to_SC,138,118,47,103,105.0,19.064999999999998,22.501666666666665,35.398000000000025,155.11,0.2033134552100075,1.0565383478958255,1.8676307007786428,675.0,6120.0,1.0,0.9637681159420289,0.0012250332889480692
MA_to_SP,131,125,1,23,66.99,27.75,32.2275572519084,63.11,68.32,0.4142409314823108,0.6956636373039551,1.0081680280046674,350.0,2964.0,1.0,0.9923664122137404,0.0011628939192188192
RS_to_SC,131,119,40,96,109.5,18.23,20.922442748091605,43.67,84.1,0.1946043165467626,0.7278241206030152,1.51,450.0,6000.0,1.0,0.9847328244274809,0.0011628939192188192
RJ_to_GO,127,111,38,92,105.0,19.25,20.717322834645667,27.039999999999992,101.17,0.1824213866717953,0.8084813106002955,1.8676307007786428,450.0,4845.0,1.0,0.984251968503937,0.0011273857079449623
ES_to_SP,119,103,17,49,99.0,33.08,29.399663865546216,45.99,90.95,0.3341414141414141,0.6401280633592348,1.41,8875.0,19656.0,1.0,0.9747899159663865,0.001056369285397248
MG_to_PE,119,114,61,104,89.9,34.22,37.89403361344538,73.23699999999994,262.72,0.3906026557711951,1.4524702455637197,5.422031473533619,600.0,7500.0,1.0,0.9663865546218487,0.001056369285397248
PR_to_ES,117,110,52,105,99.9,25.93,31.996581196581197,73.56999999999982,193.21,0.2839614373356705,1.95978835978836,3.741414141414141,900.0,7260.0,1.0,1.0,0.0010386151797603196
RJ_to_DF,114,103,44,85,99.99,16.275,17.69543859649123,25.702499999999997,61.93,0.15850629492831325,0.5809291595869818,1.0171597633136096,550.0,4982.0,1.0,0.9649122807017544,0.0010119840213049269
RJ_to_ES,111,100,43,89,105.0,16.46,18.57072072072072,28.06,65.45,0.1561301084236863,0.6112265060240964,0.783768760422457,950.0,7632.0,1.0,1.0,0.000985352862849534
DF_to_RJ,110,101,24,73,64.9,17.4,20.421636363636363,38.72099999999997,70.23,0.28478469961416575,1.0604432505036936,1.828,400.0,4560.0,1.0,0.9545454545454546,0.0009764758100310696
SP_to_AM,110,100,75,99,64.94500000000001,24.84,30.829818181818183,52.184,165.75,0.4146911519198664,1.4483919080867027,2.488235294117647,463.5,4511.0,1.0,0.990909090909091,0.0009764758100310696
DF_to_MG,108,103,18,78,71.89,16.035,18.728425925925926,39.06,115.43,0.22419063591792526,0.8653944911297841,1.4114114114114114,395.0,4560.0,1.0,1.0,0.0009587217043941412
RJ_to_PE,108,95,41,77,119.25,33.739999999999995,38.14981481481482,90.3,165.32,0.2931755233494364,0.8090279320107644,2.917628945342571,605.0,5572.0,1.0,0.9722222222222222,0.0009587217043941412
PE_to_SP,106,105,6,23,149.9,25.4,31.062169811320757,53.5575,64.32,0.1679786524349566,0.38662187291527683,3.277648878576953,533.0,4840.0,1.0,0.9905660377358491,0.0009409675987572126
PR_to_PE,102,90,41,75,154.45,41.805,46.74470588235294,98.02449999999979,251.5,0.27730419601468903,0.9790022488214843,3.0489208633093527,900.0,8562.0,1.0,0.9607843137254902,0.0009054593874833556
GO_to_MG,100,85,22,57,89.45,17.65,20.014,31.910999999999998,56.65,0.21671103456759744,0.7473895205140878,1.337908496732026,500.0,4078.0,1.0,0.98,0.000887705281846427
BA_to_RJ,95,85,9,47,235.9,26.06,31.682315789473687,71.142,132.19,0.0979989468141126,0.34705648148148144,0.4418546365914786,600.0,3600.0,1.0,0.9789473684210527,0.0008433200177541056
MG_to_PA,95,87,44,77,99.0,36.04,43.95831578947369,87.972,206.5,0.4524140230012778,1.0920151812205783,3.7986651835372633,1000.0,8000.0,1.0,0.968421052631579,0.0008433200177541056
PR_to_GO,94,91,56,82,114.945,34.315,37.84276595744681,72.88849999999998,174.95,0.28539395152485625,1.7428140703517585,2.0207100591715976,900.0,6675.5,1.0,0.9468085106382979,0.0008344429649356414
SC_to_BA,85,84,43,74,146.0,36.08,45.96152941176471,88.536,221.5,0.2799459459459459,0.8477295730429275,1.5265981224854714,1600.0,12558.0,1.0,0.9411764705882353,0.000754549489569463
MG_to_CE,83,76,40,73,85.9,34.6,37.92012048192771,102.48799999999967,157.27,0.4110183639398999,1.0692825252751768,1.377220077220077,700.0,7680.0,1.0,0.9759036144578314,0.0007367953839325344
BA_to_BA,78,70,10,33,235.9,13.9,16.646538461538462,32.9715,42.94,0.0542070116861435,0.1777888232716739,0.2425,600.0,4105.0,0.0,0.9487179487179487,0.000692410119840213
SC_to_GO,77,56,35,50,129.9,34.25,35.657402597402594,79.55200000000002,165.15,0.1918879056047197,0.9102445572552899,1.7983149025803056,600.0,8000.0,1.0,1.0,0.0006835330670217488
SC_to_DF,75,70,36,62,88.89,27.09,31.292133333333332,63.00799999999997,88.0,0.323,1.7201342281879193,2.0655555555555556,600.0,5880.0,1.0,0.9866666666666667,0.0006657789613848203
ES_to_RJ,74,61,12,27,99.0,30.53,26.184054054054055,41.086999999999996,90.25,0.30227227633477627,0.6510714285714286,1.209767814251401,8875.0,19656.0,1.0,0.972972972972973,0.0006569019085663559
PR_to_CE,74,66,36,59,109.9,34.9,41.43689189189189,76.59799999999994,132.94,0.3306686777275012,1.206,2.844295302013423,900.0,8050.0,1.0,0.972972972972973,0.0006569019085663559
MG_to_MA,72,69,36,64,71.4,34.15,47.19416666666667,160.19500000000033,237.11,0.5154565217391305,1.224014336917563,3.4494949494949494,450.0,7474.0,1.0,0.9305555555555556,0.0006391478029294274
PE_to_MG,72,62,3,10,149.9,27.59,28.241944444444446,39.584,62.64,0.1840560373582388,0.31578328822848906,2.147798742138365,533.0,4840.0,1.0,1.0,0.0006391478029294274
